,afile,alang,akorp,astatus,sentlength,ppron,possdet,indef,cconj,whconj,relativ,pied,correl,copula,attrib,pasttense,lexdens,lexTTR,mquantif,mpred,finites,infs,pverbals,deverbals,bypassives,longpassives,sconj,addit,advers,caus,tempseq,epist,but,comp,sup,neg,numcls,simple,demdets,nnargs,mhd,mdd,acl,aux,aux:pass,ccomp,nsubj:pass,parataxis,xcomp,L1
0,1,en,preprocessed,L2,24.227272727272727,0.0356472795497185,0.0206378986866791,0.0018761726078799,0.9090909090909092,0.0454545454545454,0.3636363636363636,0.0909090909090909,0.0,0.1818181818181818,1.2727272727272727,0.2727272727272727,0.450281425891182,0.8791208791208791,0.0,0.1818181818181818,0.6883116883116883,0.0909090909090909,0.0259740259740259,0.1038961038961039,0.0454545454545454,0.0454545454545454,0.7272727272727273,0.2272727272727272,0.0454545454545454,0.3636363636363636,0.0454545454545454,0.0454545454545454,0.1818181818181818,0.1864406779661017,0.0,0.0909090909090909,2.090909090909091,0.3181818181818182,0.0300187617260788,0.618421052631579,3.593808755749737,1.4813674905288683,0.0681818181818181,0.4153679653679653,0.0129870129870129,0.0292207792207792,0.0064935064935064,0.0181818181818181,0.3132034632034632,HIN
1,3,en,preprocessed,L2,28.071428571428573,0.0916030534351145,0.0203562340966921,0.0,1.0714285714285714,0.4285714285714285,0.1428571428571428,0.0,0.0,0.2142857142857142,1.0714285714285714,1.5714285714285714,0.4325699745547073,0.9289617486338798,0.0,0.1428571428571428,0.6206896551724138,0.1379310344827586,0.0344827586206896,0.0,0.0714285714285714,0.0,0.7142857142857143,0.2142857142857142,0.0714285714285714,0.1428571428571428,0.3571428571428571,0.0714285714285714,0.0714285714285714,0.04,0.12,0.4285714285714285,2.2857142857142856,0.1428571428571428,0.0076335877862595,0.3898305084745763,3.46150714009018,1.617488432066331,0.2166666666666667,0.3321428571428572,0.0357142857142857,0.0285714285714285,0.0357142857142857,0.0178571428571428,0.2619047619047619,ARA
2,5,en,preprocessed,L2,16.40909090909091,0.0498614958448753,0.0166204986149584,0.0,0.5454545454545454,0.0,0.0454545454545454,0.0,0.0,0.5454545454545454,0.7727272727272727,0.5909090909090909,0.4321329639889196,0.9936305732484076,0.0,0.4545454545454545,0.7142857142857143,0.1666666666666666,0.0952380952380952,0.2142857142857142,0.0,0.1363636363636363,0.3636363636363636,0.1363636363636363,0.0454545454545454,0.0909090909090909,0.1363636363636363,0.0454545454545454,0.0,0.0930232558139534,0.0465116279069767,0.0909090909090909,1.0454545454545454,0.4090909090909091,0.0083102493074792,0.3428571428571428,3.0999175111875648,1.3719511333882992,0.1075757575757575,0.3954545454545454,0.0378787878787878,0.009090909090909,0.0303030303030303,0.0227272727272727,0.1696969696969697,HIN
3,6,en,preprocessed,L2,15.733333333333333,0.0550847457627118,0.0084745762711864,0.0169491525423728,0.7333333333333333,0.0,0.0,0.0,0.0,0.2666666666666666,0.5333333333333333,0.0,0.4576271186440678,0.9391304347826088,0.0,0.5333333333333333,0.9393939393939394,0.0303030303030303,0.0303030303030303,0.1515151515151515,0.0,0.0,0.7333333333333333,0.2,0.0666666666666666,0.1333333333333333,0.0,0.0,0.2,0.21875,0.0,0.2,0.9333333333333332,0.4666666666666667,0.0084745762711864,0.5952380952380952,2.6915269749763184,1.1793831138020847,0.0,0.3666666666666666,0.0,0.05,0.0,0.0888888888888888,0.0944444444444444,JPN
4,7,en,preprocessed,L2,19.42105263157895,0.059620596205962,0.005420054200542,0.002710027100271,0.9473684210526316,0.0,0.1578947368421052,0.0,0.0,0.5263157894736842,1.368421052631579,0.4210526315789473,0.4688346883468834,0.9301075268817204,0.0,0.2631578947368421,0.8,0.0909090909090909,0.0363636363636363,0.0545454545454545,0.0526315789473684,0.1052631578947368,1.0,0.0526315789473684,0.1052631578947368,0.2631578947368421,0.0,0.0,0.0526315789473684,0.0181818181818181,0.0,0.0526315789473684,1.105263157894737,0.3157894736842105,0.010840108401084,0.6231884057971014,3.2718672189299984,1.471935983072696,0.1052631578947368,0.2894736842105263,0.0789473684210526,0.0526315789473684,0.0526315789473684,0.1052631578947368,0.0526315789473684,HIN
5,8,en,preprocessed,L2,18.944444444444443,0.0263929618768328,0.0087976539589442,0.0,0.6666666666666666,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.7222222222222222,0.7777777777777778,1.0555555555555556,0.4398826979472141,0.967741935483871,0.0,0.5555555555555556,0.9069767441860463,0.0930232558139534,0.0465116279069767,0.0232558139534883,0.1111111111111111,0.0555555555555555,0.6666666666666666,0.1111111111111111,0.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.1666666666666666,0.0,0.0425531914893617,0.1666666666666666,1.5,0.2777777777777778,0.0058651026392961,0.6111111111111112,3.2945460781935862,1.5146033761709423,0.1486772486772486,0.2154761904761905,0.0435185185185185,0.1671957671957672,0.0435185185185185,0.0403439153439153,0.119047619047619,TUR
6,9,en,preprocessed,L2,51.875,0.0602409638554216,0.0048192771084337,0.0024096385542168,2.5,0.375,1.0,0.0,0.0,2.25,1.25,0.375,0.3325301204819277,0.8023255813953488,0.0,0.875,0.9591836734693876,0.2244897959183673,0.0204081632653061,0.0816326530612244,0.0,0.125,1.75,0.375,0.0,0.625,0.0,0.125,0.5,0.1224489795918367,0.0,1.125,5.125,0.125,0.016867469879518,0.547945205479452,3.939910934256166,2.099410223920896,0.05,0.4916666666666667,0.0416666666666666,0.0875,0.0,0.1125,0.2166666666666666,SPA
7,10,en,preprocessed,L2,21.53846153846154,0.1,0.0071428571428571,0.0107142857142857,0.8461538461538461,0.1538461538461538,0.4615384615384615,0.0,0.0,0.6153846153846154,0.3076923076923077,0.6923076923076923,0.3821428571428571,0.9145299145299144,0.0,0.0,0.9743589743589745,0.1282051282051282,0.0,0.0256410256410256,0.0,0.0769230769230769,0.6923076923076923,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.2258064516129032,0.0,0.1538461538461538,1.6923076923076923,0.3846153846153846,0.0035714285714285,0.3695652173913043,3.205004900143635,1.2550476413461986,0.0923076923076923,0.2461538461538461,0.0384615384615384,0.1461538461538461,0.0384615384615384,0.0153846153846153,0.0384615384615384,JPN
8,11,en,preprocessed,L2,22.76923076923077,0.0641891891891891,0.0371621621621621,0.0033783783783783,0.5384615384615384,0.2307692307692307,0.3076923076923077,0.0,0.0,0.3846153846153846,1.3076923076923077,0.2307692307692307,0.4527027027027027,0.978102189781022,0.0,0.1538461538461538,0.8717948717948718,0.1282051282051282,0.0,0.0512820512820512,0.0,0.0769230769230769,0.7692307692307693,0.0769230769230769,0.2307692307692307,0.1538461538461538,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.081081081081081,0.027027027027027,0.2307692307692307,1.6153846153846154,0.2307692307692307,0.0236486486486486,0.5454545454545454,3.776332524875036,1.4358663771464435,0.141025641025641,0.3717948717948717,0.0192307692307692,0.2051282051282051,0.0192307692307692,0.0,0.0897435897435897,GER
9,12,en,preprocessed,L2,21.866666666666667,0.0548780487804878,0.0060975609756097,0.0060975609756097,0.6666666666666666,0.1333333333333333,0.2666666666666666,0.0,0.0,0.2,2.066666666666667,0.6666666666666666,0.4573170731707317,0.9433962264150944,0.0,0.2666666666666666,0.7727272727272727,0.0227272727272727,0.0227272727272727,0.2045454545454545,0.0,0.1333333333333333,0.6,0.0666666666666666,0.1333333333333333,0.2666666666666666,0.2,0.2666666666666666,0.1333333333333333,0.15,0.0666666666666666,0.4,1.4666666666666666,0.2666666666666666,0.0091463414634146,0.5208333333333334,3.5866278139645016,1.3805202079768644,0.0133333333333333,0.4577777777777778,0.0466666666666666,0.1666666666666666,0.0133333333333333,0.0355555555555555,0.0666666666666666,GER
10,13,en,preprocessed,L2,21.46153846153846,0.078853046594982,0.039426523297491,0.0,0.8461538461538461,0.2307692307692307,0.0769230769230769,0.0,0.0,0.7692307692307693,1.2307692307692308,0.1538461538461538,0.4587813620071684,0.9696969696969696,0.0,0.2307692307692307,1.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.3076923076923077,0.3846153846153846,0.0,0.1538461538461538,0.0,0.0769230769230769,0.0769230769230769,0.0196078431372549,0.0196078431372549,0.8461538461538461,1.5384615384615383,0.3076923076923077,0.007168458781362,0.4390243902439024,3.0449438677024805,1.5740033365063135,0.1538461538461538,0.3621794871794871,0.0,0.1346153846153846,0.0,0.0448717948717948,0.2275641025641025,JPN
11,14,en,preprocessed,L2,23.8,0.0378151260504201,0.0126050420168067,0.0042016806722689,0.4,0.0,0.6,0.1,0.0,0.7,0.9,0.2,0.4033613445378151,0.979591836734694,0.0,0.2,0.7241379310344828,0.3103448275862069,0.0,0.0689655172413793,0.1,0.1,0.5,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.074074074074074,0.4,2.3,0.1,0.0126050420168067,0.5161290322580645,3.4580589826839825,1.5629161255411252,0.1333333333333333,0.4583333333333333,0.05,0.0,0.025,0.025,0.3083333333333333,TEL
12,15,en,preprocessed,L2,23.53846153846154,0.0816993464052287,0.0065359477124183,0.0,0.3076923076923077,0.1538461538461538,0.3076923076923077,0.0,0.0,0.3846153846153846,0.8461538461538461,0.3846153846153846,0.4411764705882353,0.9574468085106383,0.0,0.6153846153846154,0.9090909090909092,0.2121212121212121,0.0,0.0606060606060606,0.0,0.0769230769230769,0.6153846153846154,0.3076923076923077,0.0,0.1538461538461538,0.4615384615384615,0.0769230769230769,0.0,0.1818181818181818,0.0,0.0,2.230769230769231,0.0769230769230769,0.0065359477124183,0.4489795918367347,3.3783379706397607,1.3556235892553028,0.0,0.3269230769230769,0.0192307692307692,0.0769230769230769,0.0192307692307692,0.0256410256410256,0.3782051282051281,KOR
13,16,en,preprocessed,L2,17.238095238095237,0.1104972375690607,0.0165745856353591,0.0,0.6666666666666666,0.0952380952380952,0.3333333333333333,0.0,0.0,0.3809523809523809,0.7619047619047619,0.1904761904761904,0.4033149171270718,0.9798657718120806,0.0,0.3333333333333333,0.7413793103448276,0.1551724137931034,0.0517241379310344,0.0689655172413793,0.0,0.0,0.6190476190476191,0.0476190476190476,0.0,0.0952380952380952,0.0476190476190476,0.1904761904761904,0.0952380952380952,0.0851063829787234,0.0212765957446808,0.1428571428571428,1.5238095238095235,0.1904761904761904,0.005524861878453,0.2957746478873239,3.269064516378942,1.3291179848007582,0.119047619047619,0.3206349206349206,0.0,0.1444444444444444,0.0,0.0,0.273015873015873,HIN
14,17,en,preprocessed,L2,25.307692307692307,0.033434650455927,0.0091185410334346,0.0,1.0769230769230769,0.0,0.1538461538461538,0.0,0.0,1.5384615384615383,2.5384615384615383,0.3846153846153846,0.4741641337386018,0.934131736526946,0.0,0.5384615384615384,0.8648648648648649,0.2972972972972973,0.027027027027027,0.1891891891891892,0.0,0.0769230769230769,0.7692307692307693,0.3076923076923077,0.0769230769230769,0.3076923076923077,0.0769230769230769,0.3076923076923077,0.0769230769230769,0.0338983050847457,0.0677966101694915,0.1538461538461538,2.4615384615384617,0.0769230769230769,0.0151975683890577,0.6829268292682927,3.5073839636157405,1.6404969571261785,0.2205128205128205,0.3358974358974359,0.0256410256410256,0.0,0.0,0.0384615384615384,0.3025641025641026,TUR
15,18,en,preprocessed,L2,15.4375,0.068825910931174,0.0161943319838056,0.0,0.625,0.0,0.0625,0.0,0.0,0.1875,0.875,0.625,0.4453441295546558,0.9243697478991596,0.0,0.1875,0.8611111111111112,0.1111111111111111,0.0,0.0277777777777777,0.0,0.0,0.3125,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.1515151515151515,0.0,0.25,0.6875,0.5625,0.0283400809716599,0.6078431372549019,3.003770246142569,1.0440432274371694,0.03125,0.28125,0.0,0.09375,0.0,0.0,0.09375,JPN
16,19,en,preprocessed,L2,10.0,0.0459459459459459,0.0162162162162162,0.0081081081081081,0.2702702702702703,0.027027027027027,0.4594594594594595,0.0,0.0,0.5675675675675675,0.6756756756756757,0.3243243243243243,0.4648648648648649,0.9828571428571428,0.0,0.081081081081081,1.020408163265306,0.2244897959183673,0.0204081632653061,0.0408163265306122,0.027027027027027,0.027027027027027,0.2702702702702703,0.1081081081081081,0.081081081081081,0.1081081081081081,0.081081081081081,0.0,0.0,0.0147058823529411,0.0294117647058823,0.027027027027027,1.054054054054054,0.2702702702702703,0.0027027027027027,0.4918032786885246,2.9726308226308227,0.953987903987904,0.0,0.1081081081081081,0.027027027027027,0.081081081081081,0.0135135135135135,0.0675675675675675,0.1891891891891892,KOR
17,20,en,preprocessed,L2,30.714285714285715,0.0651162790697674,0.0232558139534883,0.0,1.1428571428571428,0.2857142857142857,0.1428571428571428,0.0,0.0,0.4285714285714285,0.8571428571428571,0.1428571428571428,0.3813953488372093,0.9213483146067416,0.0,0.0,1.0909090909090908,0.0454545454545454,0.0,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0.0,0.1428571428571428,0.217391304347826,0.0869565217391304,1.0,2.4285714285714284,0.1428571428571428,0.027906976744186,0.5,3.4088621236899903,2.0636165700207445,0.0238095238095238,0.0238095238095238,0.0,0.1428571428571428,0.0,0.369047619047619,0.1547619047619047,ARA
18,21,en,preprocessed,L2,19.88235294117647,0.1094674556213017,0.0029585798816568,0.0,0.1176470588235294,0.0,0.3529411764705882,0.0588235294117647,0.0,0.5294117647058824,0.3529411764705882,0.1176470588235294,0.3520710059171598,0.9083969465648856,0.0,0.8235294117647058,0.9777777777777776,0.1111111111111111,0.0222222222222222,0.0666666666666666,0.0588235294117647,0.0,1.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.0588235294117647,0.1764705882352941,0.0,0.0384615384615384,0.0384615384615384,0.4117647058823529,1.9411764705882355,0.1176470588235294,0.0029585798816568,0.3333333333333333,3.155723799335579,1.530851698699976,0.0441176470588235,0.5833333333333333,0.0147058823529411,0.0441176470588235,0.0147058823529411,0.0,0.2401960784313725,JPN
19,22,en,preprocessed,L2,34.916666666666664,0.1241050119331742,0.0238663484486873,0.0047732696897374,1.75,0.5,0.3333333333333333,0.0,0.0,1.75,1.0,0.9166666666666666,0.3770883054892601,0.8926553672316384,0.0,0.6666666666666666,1.0149253731343284,0.1044776119402985,0.0,0.0,0.0,0.25,0.5833333333333334,0.0833333333333333,0.0,0.1666666666666666,0.25,0.0,0.1666666666666666,0.1836734693877551,0.0408163265306122,0.5833333333333334,3.9166666666666665,0.0833333333333333,0.0071599045346062,0.3529411764705882,3.641703168375954,1.6881920249800482,0.0342261904761904,0.1321428571428571,0.0431547619047619,0.2202380952380952,0.03125,0.2364087301587301,0.1359126984126984,SPA
20,23,en,preprocessed,L2,18.63636363636364,0.0390243902439024,0.0170731707317073,0.0,0.9090909090909092,0.0,0.1363636363636363,0.0,0.0,0.5,1.7727272727272727,0.3636363636363636,0.4585365853658537,0.94,0.0,0.2727272727272727,0.9230769230769232,0.1282051282051282,0.0512820512820512,0.1794871794871795,0.0454545454545454,0.1363636363636363,0.2727272727272727,0.1363636363636363,0.0909090909090909,0.0454545454545454,0.1363636363636363,0.2272727272727272,0.1363636363636363,0.3103448275862069,0.0114942528735632,0.0909090909090909,0.9090909090909092,0.5,0.0048780487804878,0.5952380952380952,3.076063445159983,1.286281863339983,0.0568181818181818,0.1477272727272727,0.0696969696969696,0.0606060606060606,0.0696969696969696,0.0227272727272727,0.0727272727272727,GER
